Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004281.zip,65.518.540/0001-07,65.518.540/0001-07,,Sim,TYLIN BRAZIL LTDA,12/06/2020,TYLIN BRAZIL LTDA,,11/06/2023,Sim,0132/2020,"Contratação de serviços necessários à realização de estudos para a outorga de concessão dos serviços públicos de transporte ferroviário de passageiros na Região Metropolitana de Porto Alegre/RS, operado pela Empresa de Trens Urbanos de Porto Alegre S.A. – TRENSURB, e nas Regiões Metropolitanas de Belo Horizonte/MG, Maceió/AL, Recife/PE, João Pessoa/PB e Natal/RN, operados pela Companhia Brasileira de Trens Urbanos – CBTU, denominado SERVIÇO C.","100,00%",Serviço C,"603.390,34","603.390,34",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004369.zip,68.809.318/0001-51,38.075.220/0001-57,,Sim,CONSORCIO EY / TAUIL & CHEQUER-CBTU,16/03/2020,TAUIL E CHEQUER ADVOGADOS,,10/09/2026,Não,0077/2020,Desestatização da Companhia Brasileira de Trens Urbanos – CBTU e/ou das pessoas jurídicas resultantes da sua cisão societária [SERVIÇO B].,"29,00%",Serviço B,"2.844.775,33","9.809.570,10",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004369.zip,59.527.788/0001-31,38.075.220/0001-57,,Sim,CONSORCIO EY / TAUIL & CHEQUER-CBTU,16/03/2020,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,10/09/2026,Sim,0077/2020,Desestatização da Companhia Brasileira de Trens Urbanos – CBTU e/ou das pessoas jurídicas resultantes da sua cisão societária [SERVIÇO B].,"71,00%",Serviço B,"6.964.794,77","9.809.570,10",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004519.zip,02.520.543/0001-65,37.783.469/0001-54,,Sim,CONSORCIO GPO - SYSTRA - CESCON - RHEIN,12/06/2020,"CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS",,11/06/2027,Não,0132/2020,"Contratação de serviços necessários à realização de estudos para a outorga de concessão dos serviços públicos de transporte ferroviário de passageiros na Região Metropolitana de Porto Alegre/RS, operado pela Empresa de Trens Urbanos de Porto Alegre S.A. – TRENSURB, e nas Regiões Metropolitanas de Belo Horizonte/MG, Maceió/AL, Recife/PE, João Pessoa/PB e Natal/RN, operados pela Companhia Brasileira de Trens Urbanos – CBTU, denominado SERVIÇO C.","3,00%",Serviço C,"692.119,57","23.070.652,25",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004519.zip,16.721.366/0001-90,37.783.469/0001-54,,Sim,CONSORCIO GPO - SYSTRA - CESCON - RHEIN,12/06/2020,"RHEIN SCHIRATO, MEIRELES SOCIEDADE DE ADVOGADOS",,11/06/2027,Não,0132/2020,"Contratação de serviços necessários à realização de estudos para a outorga de concessão dos serviços públicos de transporte ferroviário de passageiros na Região Metropolitana de Porto Alegre/RS, operado pela Empresa de Trens Urbanos de Porto Alegre S.A. – TRENSURB, e nas Regiões Metropolitanas de Belo Horizonte/MG, Maceió/AL, Recife/PE, João Pessoa/PB e Natal/RN, operados pela Companhia Brasileira de Trens Urbanos – CBTU, denominado SERVIÇO C.","5,00%",Serviço C,"1.153.532,61","23.070.652,25",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004519.zip,52.635.422/0001-37,37.783.469/0001-54,,Sim,CONSORCIO GPO - SYSTRA - CESCON - RHEIN,12/06/2020,SYSTRA ENGENHARIA E CONSULTORIA LTDA,,11/06/2027,Não,0132/2020,"Contratação de serviços necessários à realização de estudos para a outorga de concessão dos serviços públicos de transporte ferroviário de passageiros na Região Metropolitana de Porto Alegre/RS, operado pela Empresa de Trens Urbanos de Porto Alegre S.A. – TRENSURB, e nas Regiões Metropolitanas de Belo Horizonte/MG, Maceió/AL, Recife/PE, João Pessoa/PB e Natal/RN, operados pela Companhia Brasileira de Trens Urbanos – CBTU, denominado SERVIÇO C.","30,00%",Serviço C,"6.921.195,68","23.070.652,25",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004519.zip,65.518.540/0001-07,37.783.469/0001-54,,Sim,CONSORCIO GPO - SYSTRA - CESCON - RHEIN,12/06/2020,TYLIN BRAZIL LTDA,,11/06/2027,Sim,0132/2020,"Contratação de serviços necessários à realização de estudos para a outorga de concessão dos serviços públicos de transporte ferroviário de passageiros na Região Metropolitana de Porto Alegre/RS, operado pela Empresa de Trens Urbanos de Porto Alegre S.A. – TRENSURB, e nas Regiões Metropolitanas de Belo Horizonte/MG, Maceió/AL, Recife/PE, João Pessoa/PB e Natal/RN, operados pela Companhia Brasileira de Trens Urbanos – CBTU, denominado SERVIÇO C.","62,00%",Serviço C,"14.303.804,40","23.070.652,25",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004566.zip,13.098.174/0001-80,13.098.174/0001-80,,Sim,RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S,25/06/2021,RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S,,24/06/2026,Sim,0048/2021,"Serviço especializado em avaliação contábil para fins de reestruturação societária da Companhia Brasileira de Trens Urbanos – CBTU, no âmbito do Programa Nacional de Desestatização - PND e do Programa de Parcerias de Investimentos – PPI, denominado “SERVIÇO D”","100,00%",Serviço D,"509.793,33","509.793,33",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004906.zip,33.179.672/0001-65,33.179.672/0004-08,,Sim,LOUDON BLOMQUIST - AUDITORES INDEPENDENTES,10/02/2022,LOUDON BLOMQUIST - AUDITORES INDEPENDENTES,,09/06/2027,Sim,0023/2022,serviços de auditoria externa independente para o projeto de desestatização da Companhia Brasileira de Trens Urbanos – CBTU e da Empresa de Trens Urbanos de Porto Alegre – TRENSURB // RFP 30/2021 AED/BNDES,"100,00%",Auditoria,"1.599.994,17","1.599.994,17",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004215.zip,07.037.932/0001-58,07.037.932/0001-58,MINISTERIO DA FAZENDA,Sim,CYPRESS ASSOCIATES DO BRASIL CONSULTORIA EMPRESARIAL LTDA.,16/03/2020,CYPRESS ASSOCIATES DO BRASIL CONSULTORIA EMPRESARIAL LTDA.,Federal,11/03/2025,Sim,0078/2020,"Contratação de serviços necessários para a realização de estudos para a desestatização da Companhia Brasileira de Trens Urbanos – CBTU e/ou das pessoas jurídicas resultantes da sua cisão societária, denominados SERVIÇO A.","100,00%",Serviço A,"500.000,00","500.000,00",CBTU JOÃO PESSOA
